feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
16.725625,15.17234375,16.5725,15.30625,15.05125,15.2353125,15.19859375,15.54625
15.6615625,15.7833333333,16.8107575758,14.97,14.97375,15.60984375,15.43203125,15.475
16.2865625,15.0265625,15.4251612903,16.37375,15.1684375,15.06,15.5059375,14.47625
15.3159375,15.1403030303,15.00890625,14.924375,15.7878125,14.91671875,15.719375,15.5166666667
14.8484375,16.52765625,14.8315625,15.1171875,14.905625,14.91,15.2703125,15.5003125
,16.72,15.8901612903,,15.3442424242,,16.36546875,16.49125
,10.7078125,14.863030303,,15.8193939394,,14.75078125,15.2309677419
,14.59921875,14.8812668919,,15.3096774194,,15.28453125,15.7337096774
,14.846875,15.338125,,15.75140625,,14.970625,14.96953125
,,15.1115625,,,,14.8,14.6796875
,,16.51328125,,,,,
,,16.5190625,,,,,
,,14.63203125,,,,,
