feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
14.946969697,16.7160606061,15.31390625,15.69359375,15.209375,14.976875,16.3738709677,15.2522580645
16.454375,16.7503125,15.7096875,15.3819256757,15.1287878788,15.3021875,15.2465625,15.965625
15.1315625,16.31046875,15.2990625,15.0884375,16.32890625,14.92109375,14.6428125,16.08953125
16.2848387097,16.1984375,15.1128125,15.3965625,16.49265625,15.6796875,15.59875,15.1981818182
15.5721875,15.3053125,14.9993939394,16.6298387097,16.6981818182,14.9553125,,15.0009375
,15.1740625,,14.32,,,,
,16.603125,,16.0425,,,,
,15.4131818182,,15.6957575758,,,,
,15.9654411765,,16.3115625,,,,
,16.669375,,,,,,
