feature6,feature3
15.2633333333,16.9815151515
14.9322058824,16.7675757576
15.5015151515,15.2577272727
15.6560606061,16.7036363636
15.3075757576,15.4329411765
15.3527272727,16.7398484848
15.5606060606,15.8724242424
15.8883333333,16.2576470588
16.5483333333,15.2148484848
15.1333333333,15.7798529412
15.5372727273,15.814375
15.5218181818,16.0472727273
16.9291176471,16.3672058824
16.2059090909,17.0070588235
15.07453125,15.4303030303
16.8018181818,16.0795588235
17.1531818182,15.213030303
15.0172727273,15.458030303
17.2084848485,
