feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3,feature12
15.6967741935,15.9587096774,17.46375,15.8461290323,17.0235483871,15.82125,15.7787878788,16.3658064516,16.2993939394
15.7378125,16.4338709677,15.6225,17.5101612903,15.38859375,16.0906451613,16.0677419355,15.6562121212,15.58875
15.4992424242,17.0265625,15.8203225806,15.8580645161,15.9436666667,15.5158064516,15.49671875,15.1888709677,15.5421875
15.52,15.904375,17.2229032258,15.89875,15.6829032258,15.966969697,15.6922727273,16.164516129,17.1690625
15.63875,17.075483871,16.03453125,17.0518181818,17.19125,17.0380645161,15.6286323475,15.8372580645,15.868125
16.83703125,16.9859375,15.6075806452,16.95,17.0059677419,15.6806451613,16.0106060606,16.27453125,17.0719444444
15.3429032258,16.1467741935,15.805483871,15.41296875,15.84,16.978125,16.1053125,17.1438709677,15.7051612903
15.6670967742,15.88265625,16.2923529412,17.154375,17.3528125,17.695483871,17.30453125,16.025483871,15.8529032258
15.71,17.0929032258,16.2741935484,17.04734375,15.7046774194,15.5198387097,15.4712903226,17.1678125,15.6009375
16.0103030303,16.1010606061,15.4909677419,17.2980645161,15.2143548387,16.725,15.531875,16.94,16.2741935484
15.76328125,17.1519354839,15.28296875,15.5322727273,15.8816129032,17.0664516129,16.26546875,15.1427419355,15.4241935484
15.3848387097,16.3521875,17.02921875,15.785483871,15.6451612903,16.005483871,16.251875,15.26,17.1435483871
17.1420967742,15.444516129,16.38,17.1751612903,16.5754545455,16.0880645161,17.1587096774,17.093125,15.5690322581
15.6278125,17.0203225806,16.0117741935,15.785625,16.125,17.2322580645,16.4927419355,16.3383870968,15.43328125
16.1938709677,16.3448484848,15.8522580645,17.188125,15.71953125,16.925,16.4038571429,15.6264516129,15.5732258065
16.0121875,15.354516129,16.9848484848,15.9283870968,16.88109375,16.9283870968,15.5577419355,16.9712903226,15.5315151515
16.9416129032,17.0183870968,15.32875,15.7087096774,15.8509677419,15.6765625,15.4496875,17.4174193548,16.4248387097
16.1646875,17.17875,15.7609375,16.0925,16.3864516129,16.185,17.145625,15.5761290323,15.4190322581
17.4906451613,17.1167741935,16.0646875,15.695,15.6674193548,16.9433870968,15.73875,16.1322727273,15.5612903226
15.7470967742,16.4696774194,15.7039393939,17.1141935484,15.8075806452,16.2387096774,15.5467741935,17.1329032258,17.2961290323
15.4206451613,15.725625,16.1167741935,15.4390322581,16.2485483871,15.65875,15.895,15.7580645161,16.0929032258
15.2725806452,15.2290909091,16.514516129,17.1967741935,15.9865625,17.0548387097,15.5934375,15.5770967742,17.4816129032
16.8883870968,15.9057575758,15.2946875,16.4506451613,15.4537096774,15.5266129032,16.4040322581,16.8570967742,15.9783870968
15.414375,17.251875,15.4932258065,16.87625,15.5796875,16.7303125,17.093125,15.0619354839,15.518125
15.7448387097,16.93515625,15.2778125,16.6029032258,15.8415625,15.6822580645,15.8796774194,16.5793548387,15.5589189189
16.3365625,15.7434722222,17.3358823529,15.923125,16.91046875,17.076969697,17.5435483871,15.9293548387,15.2987096774
15.5572222222,16.0475,16.8983870968,15.8475757576,15.62515625,15.5330645161,15.7674193548,15.6062903226,15.88
15.0942424242,17.09265625,16.0157575758,17.1913888889,15.684375,16.85984375,17.0516129032,15.5316129032,17.3615625
,15.7629411765,17.27890625,15.8246875,15.9215625,,17.3260606061,17.1153699312,17.2783870968
,,,16.1931818182,16.27109375,,16.155625,15.9365625,
