feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
21.736875,21.921875,21.705,21.7865625,21.8671875,22.0303125,22.28,21.911875
22.3309375,21.5533333333,21.5127272727,22.0490625,21.348125,21.5884375,21.6684375,22.23125
21.6375,22.0471875,22.2348387097,21.5809375,21.7184375,21.48875,22.2040625,21.7484375
21.3371875,22.8915151515,22.1409375,21.994375,22.5409375,20.8440625,22.1134375,20.7587878788
21.421875,22.1678125,21.1,21.5103125,22.3728125,21.390625,21.6375,22.056875
,22.259375,21.4922580645,,21.6490909091,,22.02125,21.368125
,23.4571875,22.3412121212,,21.6181818182,,22.0365625,22.304516129
,21.31,22.3975675676,,21.7574193548,,21.590625,22.6277419355
,21.3975,21.4215625,,22.5425,,21.6275,22.3965625
,,21.59125,,,,22.110625,20.923125
,,21.4428125,,,,,
,,22.405625,,,,,
,,22.4215625,,,,,
