feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
21.006969697,22.3606060606,21.63375,21.2978125,21.5465625,21.91375,22.1083870968,22.294516129
21.64875,22.205,21.7240625,21.7997297297,22.16,21.778125,21.836875,22.3515625
22.2146875,21.314375,21.403125,21.059375,21.325,21.7353125,21.7703125,22.400625
21.7351612903,21.6828125,22.11625,21.243125,21.8340625,21.235625,21.6315625,21.1872727273
22.2696875,21.9959375,21.6948484848,21.5709677419,21.9481818182,22.4865625,,21.48625
,21.4315625,,22.23625,,,,
,22.3259375,,22.435,,,,
,22.03,,21.0436363636,,,,
,21.4167647059,,21.35375,,,,
,21.4425,,,,,,
