feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
21.4665625,21.173125,21.5153125,22.0072727273,22.0439393939,21.58,21.82125,22.28
22.11,20.9665625,21.335,21.7246875,22.2159375,21.015,21.77,22.4906451613
21.703125,21.8065625,21.6934375,21.1953125,22.338125,21.3540625,21.274375,21.6903125
21.6274193548,22.3319354839,22.3046875,21.7553125,22.171875,21.980625,22.3721875,22.0929032258
22.055,20.1032258065,21.5878125,21.63,22.44,21.5806060606,21.7615625,22.0727272727
21.8659375,,,,22.044375,,,
21.5821875,,,,22.1890625,,,
22.1827272727,,,,21.7590625,,,
22.4412903226,,,,21.7042424242,,,
21.49,,,,21.7990625,,,
