feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
21.49375,22.5891666667,21.7428125,21.7353125,22.5625806452,22.1470967742,21.60375,22.3915625
21.0654545455,22.3348387097,22.0221212121,21.5325,21.7946875,22.151875,22.4978125,21.984516129
21.9475,21.9475,21.7459375,21.32,21.828125,22.2219354839,21.595483871,22.368125
21.215625,21.798125,22.4471875,21.945,21.609375,21.354375,21.7734375,21.828125
22.5721875,22.051875,21.9225,21.61,21.645625,21.4240625,,21.71375
22.2875,,,,22.3296969697,,,
21.7215151515,,,,21.559375,,,
21.5767741935,,,,21.329375,,,
22.1832258065,,,,21.7659375,,,
,,,,21.7796875,,,
