feature10,feature7,feature4,feature6,feature11,feature8,feature9,feature3
21.5140625,21.5622580645,21.735,21.603125,21.6596875,21.3975757576,21.925625,21.155
21.1590625,21.5839393939,22.13625,21.50375,21.2422580645,22.1178125,22.1312903226,22.204375
22.2348387097,22.5,21.328125,21.76,21.6821875,21.798125,21.9978125,21.9621875
21.9528125,22.1015625,21.9651612903,21.943125,21.4065625,22.1796875,22.0115625,21.7575
22.3060606061,21.4490625,21.8371875,21.825,21.4065625,21.5621875,21.343125,22.375
,,22.0566666667,,,,,21.4609375
,,22.064375,,,,,21.3081818182
,,21.9753125,,,,,21.8303125
,,21.8996774194,,,,,21.83375
,,21.4424242424,,,,,22.006875
