feature6,feature3
24.8351515152,24.4711764706
24.7921212121,24.7536363636
24.3118181818,25.3203125
24.9424242424,25.2072727273
25.3429411765,24.2521212121
24.1275609756,24.8041025641
25.0313513514,24.654
24.48,24.9521621622
24.6878947368,24.9908333333
25.0657142857,25.9011111111
24.5272222222,26.035
25.96,23.9504761905
25.56,25.7825
25.6321428571,24.9677777778
23.9705128205,25.1968571429
26.98875,25.09625
24.4965116279,24.7837142857
24.7710810811,24.4963157895
23.9402857143,24.73375
25.29,24.4987179487
