feature10,feature3,feature8,feature6
27.7730769231,27.9905882353,27.6736842105,28.2520588235
27.9190909091,28.6034375,28.3012121212,28.5088235294
28.0264705882,27.7190909091,28.5462857143,27.8002941176
27.6815151515,27.7588235294,27.883030303,27.8602857143
28.6463636364,28.0875757576,28.246969697,28.7665625
28.3609090909,27.8058823529,28.2639393939,27.5724242424
28.0254285714,27.8571428571,28.3684848485,28.7076470588
27.976969697,27.8497142857,27.6839215686,28.2578787879
28.24,28.4815151515,28.6093939394,28.2025714286
27.2448571429,27.3360606061,28.0222857143,28.4321212121
28.0308823529,27.8629411765,27.7640540541,27.9573529412
27.6741176471,27.5344117647,27.7817647059,28.4217142857
27.9873529412,27.3934285714,28.4802941176,27.9105714286
27.7114285714,28.1624242424,28.8105882353,28.5082857143
28.1715151515,28.038,28.2833333333,28.3968571429
28.2547058824,28.1162857143,27.9085294118,27.9863636364
27.4080487805,28.5279411765,28.3497058824,27.5017647059
27.4967647059,28.22,28.0564705882,28.5229411765
28.3871428571,27.9315151515,28.5661764706,28.0448484848
28.0106060606,28.5179411765,27.902,27.9088571429
28.2885714286,28.5490625,27.8697142857,28.1242857143
28.0024242424,28.0788571429,28.4837142857,28.4572727273
28.6715151515,27.0825714286,27.9932352941,27.5412121212
28.4494117647,27.9229411765,27.0653333333,27.8123529412
27.9291176471,28.2335294118,28.0582857143,28.1355882353
27.518,28.3711428571,27.9842857143,27.488
28.1134375,27.6105714286,27.7042857143,28.4126470588
27.0234285714,28.2117647059,28.0054545455,28.0915151515
27.4063636364,27.8051515152,27.7952941176,27.65
28.66675,27.4632352941,,
