feature10,feature3,feature8,feature6
38.25,32.731,37.128,32.63
33.817,32.88,32.685,33.463
33.277,33.583,33.214,33.665
33.71,32.812,37.968,33.682
32.33,32.41,33.361,32.419
32.818,33.639,32.813,33.522
33.884,33.257,32.652,33.706
32.821,33.417,37.544,33.333
33.382,32.413,32.634,33.345
32.827,33.014,33.596,32.464
33.667,32.814,33.29,33.583
32.954,33.262,33.856,33.894
33.493,33.619,33.841,33.608
34.009,33.6,33.404,33.626
33.364,33.713,32.858,33.799
33.916,33.567,33.596,33.193
37.3,33.841,33.134,33.308
33.641,33.692,33.265,32.618
33.684,32.436,33.912,33.423
33.834,33.014,33.359,33.62
33.477,32.811,33.558,33.358
33.045,33.493,33.534,33.324
32.646,34.026,33.701,33.411
33.512,32.702,33.022,33.589
33.973,32.719,33.884,33.206
33.327,38.004,34.028,33.692
32.666,33.429,33.441,33.397
33.806,32.428,32.941,33.488
33.159,33.274,33.638,33.336
38.069,33.392,,
